ts,datetime,MidPoint,MidPoint_500ms,MidPoint_1000ms
1345040172500000000,2012-08-15T09:16:12.500000000,2352.2,2352.3,2352.1
1345040173000000000,2012-08-15T09:16:13.000000000,2352.3,2352.1,2352.3
1345040173500000000,2012-08-15T09:16:13.500000000,2352.1,2352.3,2352.3
1345040174000000000,2012-08-15T09:16:14.000000000,2352.3,2352.3,2352.2
1345040174500000000,2012-08-15T09:16:14.500000000,2352.3,2352.2,2352.3
1345040175000000000,2012-08-15T09:16:15.000000000,2352.2,2352.3,2352.3
1345040175500000000,2012-08-15T09:16:15.500000000,2352.3,2352.3,2352.3
1345040176000000000,2012-08-15T09:16:16.000000000,2352.3,2352.3,2352.5
1345040176500000000,2012-08-15T09:16:16.500000000,2352.3,2352.5,2352.5
1345040177000000000,2012-08-15T09:16:17.000000000,2352.5,2352.5,2352.5
1345040177500000000,2012-08-15T09:16:17.500000000,2352.5,2352.5,2352.5
1345040178000000000,2012-08-15T09:16:18.000000000,2352.5,2352.5,2352.7
1345040178500000000,2012-08-15T09:16:18.500000000,2352.5,2352.7,2352.7
1345040179000000000,2012-08-15T09:16:19.000000000,2352.7,2352.7,2352.7
1345040179500000000,2012-08-15T09:16:19.500000000,2352.7,2352.7,2352.7
1345040180500000000,2012-08-15T09:16:20.500000000,2352.7,2352.7,2352.7
1345040181000000000,2012-08-15T09:16:21.000000000,2352.7,2352.7,2352.7
1345040181500000000,2012-08-15T09:16:21.500000000,2352.7,2352.7,2352.9
1345040182000000000,2012-08-15T09:16:22.000000000,2352.7,2352.9,2352.7
1345040182500000000,2012-08-15T09:16:22.500000000,2352.9,2352.7,2352.7
1345040183000000000,2012-08-15T09:16:23.000000000,2352.7,2352.7,2352.7
1345040183500000000,2012-08-15T09:16:23.500000000,2352.7,2352.7,2352.7
1345040184000000000,2012-08-15T09:16:24.000000000,2352.7,2352.7,2352.7
1345040184500000000,2012-08-15T09:16:24.500000000,2352.7,2352.7,2352.7
1345040185000000000,2012-08-15T09:16:25.000000000,2352.7,2352.7,2352.7
1345040185500000000,2012-08-15T09:16:25.500000000,2352.7,2352.7,2352.5
1345040186000000000,2012-08-15T09:16:26.000000000,2352.7,2352.5,2352.3
1345040186500000000,2012-08-15T09:16:26.500000000,2352.5,2352.3,2352.3
1345040187000000000,2012-08-15T09:16:27.000000000,2352.3,2352.3,2352.3
1345040187500000000,2012-08-15T09:16:27.500000000,2352.3,2352.3,2352.3
1345040188000000000,2012-08-15T09:16:28.000000000,2352.3,2352.3,2352.4
1345040188500000000,2012-08-15T09:16:28.500000000,2352.3,2352.4,2352.4
1345040189000000000,2012-08-15T09:16:29.000000000,2352.4,2352.4,2352.3
1345040189500000000,2012-08-15T09:16:29.500000000,2352.4,2352.3,2352.4
1345040190000000000,2012-08-15T09:16:30.000000000,2352.3,2352.4,2352.3
1345040190500000000,2012-08-15T09:16:30.500000000,2352.4,2352.3,2352.1
1345040191000000000,2012-08-15T09:16:31.000000000,2352.3,2352.1,2352.4
1345040191500000000,2012-08-15T09:16:31.500000000,2352.1,2352.4,2352.3
1345040192000000000,2012-08-15T09:16:32.000000000,2352.4,2352.3,2352.3
1345040192500000000,2012-08-15T09:16:32.500000000,2352.3,2352.3,2352.3
1345040193000000000,2012-08-15T09:16:33.000000000,2352.3,2352.3,2352.3
1345040193500000000,2012-08-15T09:16:33.500000000,2352.3,2352.3,2352.3
1345040194000000000,2012-08-15T09:16:34.000000000,2352.3,2352.3,2352.3
1345040194500000000,2012-08-15T09:16:34.500000000,2352.3,2352.3,2352.3
1345040195000000000,2012-08-15T09:16:35.000000000,2352.3,2352.3,2352.3
1345040195500000000,2012-08-15T09:16:35.500000000,2352.3,2352.3,2352.3
1345040196000000000,2012-08-15T09:16:36.000000000,2352.3,2352.3,2352.3
1345040196500000000,2012-08-15T09:16:36.500000000,2352.3,2352.3,2352.3
