pred_horizon_s,signal_thres,vol_thres,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
2,0.2,0.31,787659,106,7430,0.36,0.64,70.97,-0.48,20.46,3714,-0.35,-0.62,71.26,0.47,20.21,3716
5,0.2,0.31,655920,88,7430,0.29,0.95,58.19,-0.72,35.54,3714,-0.3,-0.91,59.39,0.73,33.1,3716
10,0.2,0.31,642480,86,7430,0.3,1.27,54.77,-0.97,40.44,3714,-0.27,-1.22,55.84,1.03,39.37,3716
2,0.2,0.32,748030,106,7048,0.36,0.65,70.92,-0.48,20.69,3528,-0.35,-0.63,70.97,0.48,20.57,3520
5,0.2,0.32,620460,88,7048,0.3,0.96,58.16,-0.73,35.66,3528,-0.29,-0.91,59.06,0.75,33.27,3520
10,0.2,0.32,613170,87,7048,0.31,1.28,55.05,-0.98,40.28,3528,-0.27,-1.23,55.68,1.04,39.63,3520
2,0.2,0.33,715570,107,6664,0.36,0.65,70.92,-0.48,20.83,3346,-0.35,-0.64,71.1,0.48,20.71,3318
5,0.2,0.33,587220,88,6664,0.3,0.96,58.04,-0.74,35.86,3346,-0.29,-0.92,59.07,0.76,33.48,3318
10,0.2,0.33,576930,87,6664,0.3,1.29,54.93,-1,40.44,3346,-0.27,-1.25,55.79,1.06,39.75,3318
2,0.2,0.34,681386,108,6298,0.37,0.66,70.93,-0.48,20.88,3161,-0.36,-0.64,71.18,0.49,20.78,3137
5,0.2,0.34,556230,88,6298,0.3,0.97,57.99,-0.75,35.91,3161,-0.29,-0.94,58.88,0.77,33.5,3137
10,0.2,0.34,545250,87,6298,0.31,1.3,55.08,-1.01,40.49,3161,-0.27,-1.27,55.53,1.08,40.04,3137
2,0.2,0.35,653479,109,5976,0.37,0.66,71.15,-0.49,20.8,2981,-0.36,-0.65,71.19,0.49,21.1,2995
5,0.2,0.35,532170,89,5976,0.3,0.99,57.83,-0.75,36.1,2981,-0.29,-0.95,58.8,0.78,33.52,2995
10,0.2,0.35,522300,87,5976,0.31,1.32,54.75,-1.01,40.83,2981,-0.27,-1.28,55.46,1.09,40.2,2995
2,0.2,0.36,622324,110,5666,0.37,0.67,71.14,-0.5,21.03,2810,-0.36,-0.65,71.46,0.5,21.08,2856
5,0.2,0.36,511080,90,5666,0.3,1,57.9,-0.76,36.26,2810,-0.3,-0.95,59.03,0.8,33.33,2856
10,0.2,0.36,509820,90,5666,0.32,1.34,54.77,-1.02,40.89,2810,-0.29,-1.29,55.95,1.1,39.81,2856
2,0.2,0.37,597274,110,5406,0.38,0.67,71.26,-0.5,20.98,2683,-0.36,-0.66,71.43,0.51,21.23,2723
5,0.2,0.37,482940,89,5406,0.3,1,57.77,-0.76,36.68,2683,-0.29,-0.96,58.8,0.8,33.64,2723
10,0.2,0.37,479490,89,5406,0.31,1.34,54.86,-1.03,41.04,2683,-0.28,-1.3,55.64,1.1,40.18,2723
2,0.2,0.38,565790,110,5134,0.37,0.68,70.81,-0.51,21.32,2552,-0.36,-0.66,71.15,0.51,21.69,2582
5,0.2,0.38,463920,90,5134,0.3,1.02,57.68,-0.77,36.72,2552,-0.3,-0.97,58.83,0.8,33.69,2582
